,edge,edge_text,variables,variables_text
42,(say/Pd.ssor.<f-----/en u%2es%2e/Cp.s/en israel/Cp.s/en syria/Cp.s/en ((do/Mv.|f-----/en (n't/Mn/en belong/P.sx.-i-----/en)) iran/Cp.s/en (on/T/en (+/B.am/. u%2en%2e/Cp.s/en (+/B.am/. rights/Cp.p/en body/Cc.s/en))))),"U.S., Israel Say Syria, Iran Don't Belong on U.N. Rights Body","[{'PRED': ['say/Pd.ssor.<f-----/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'Say', 'SOURCE': 'Israel', 'TARGET': 'Syria'}]"
43,(slams/Pd.soo.|f--3s-/en egypt/Cp.s/en israel/Cp.s/en plan/Cc.s/en),Egypt slams Israel plan,"[{'PRED': ['slams/Pd.soo.|f--3s-/en'], 'SOURCE': ['egypt/Cp.s/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': 'slams', 'SOURCE': 'Egypt', 'TARGET': 'Israel'}]"
44,(slams/Pd.soo.|f--3s-/en israel/Cp.s/en russia/Cp.s/en decision/Cc.s/en),Israel slams Russia decision,"[{'PRED': ['slams/Pd.soo.|f--3s-/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'slams', 'SOURCE': 'Israel', 'TARGET': 'Russia'}]"
45,(slams/Pd.soo.|f--3s-/en syria/Cp.s/en israel/Cp.s/en (for/Br.ma/en support/Cc.s/en isil/Cp.s/en)),Syria slams Israel support for ISIL,"[{'PRED': ['slams/Pd.soo.|f--3s-/en'], 'SOURCE': ['syria/Cp.s/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': 'slams', 'SOURCE': 'Syria', 'TARGET': 'Israel'}]"
46,(slams/Pd.sox.|f--3s-/en russia/Cp.s/en germany/Cp.s/en (for/T/en (halting/P.o.|pg----/en (+/B.am/. arms/Cc.p/en deal/Cc.s/en)))),Russia slams Germany for halting arms deal,"[{'PRED': ['slams/Pd.sox.|f--3s-/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['germany/Cp.s/en'], 'TOPIC': [['halting/P.o.|pg----/en'], [['+/B.am/.'], ['arms/Cc.p/en'], ['deal/Cc.s/en']]]}]","[{'PRED': 'slams', 'SOURCE': 'Russia', 'TARGET': 'Germany', 'TOPIC': 'halting arms deal'}]"
47,(warned/Pd.xsoxx.<f-----/en (in/T/en (an/Md/en (ominous/Ma/en turn/Cc.s/en))) syria/Cp.s/en lebanon/Cp.s/en today/Cc.s/en (against/T/en (continuing/P.r.|pg----/en ((to/Mi/en provide/P.o.-i-----/en) (+/B.mm/. refuge/Cc.s/en (for/Jr.ma/en rebels/Cc.p/en (battling/P.o.|pg----/en (the/Md/en (+/B.am/. assad/Cp.s/en regime/Cc.s/en))))))))),"In an ominous turn, Syria warned Lebanon today against continuing to provide refuge for rebels battling the Assad regime","[{'PRED': ['warned/Pd.xsoxx.<f-----/en'], 'SOURCE': ['syria/Cp.s/en'], 'TARGET': ['lebanon/Cp.s/en'], 'TOPIC': [['continuing/P.r.|pg----/en'], [[['to/Mi/en'], ['provide/P.o.-i-----/en']], [['+/B.mm/.'], ['refuge/Cc.s/en'], [['for/Jr.ma/en'], ['rebels/Cc.p/en'], [['battling/P.o.|pg----/en'], [['the/Md/en'], [['+/B.am/.'], ['assad/Cp.s/en'], ['regime/Cc.s/en']]]]]]]]}]","[{'PRED': 'warned', 'SOURCE': 'Syria', 'TARGET': 'Lebanon', 'TOPIC': 'continuing to provide refuge for rebels battling the Assad regime'}]"
48,(warns/P.so.-------/en israel/Cp.s/en russia/Cp.s/en),Israel Warns Russia,"[{'PRED': ['warns/P.so.-------/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'Warns', 'SOURCE': 'Israel', 'TARGET': 'Russia'}]"
49,(warns/P.sor.|f--3s-/en france/Cp.s/en russia/Cp.s/en ((could/Mm/en cancel/P.so.-i-----/en) it/Ci/en (+/B.am/. warships/Cc.p/en deal/Cc.s/en))),France warns Russia it could cancel warships deal,"[{'PRED': ['warns/P.sor.|f--3s-/en'], 'SOURCE': ['france/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'France', 'TARGET': 'Russia'}]"
50,(warns/P.sox.-------/en russia/Cp.s/en poland/Cp.s/en (after/T/en ((down/M/en pulled/Pd.s.<f-----/en) (+/B.am/. wwii/Cp.s/en monument/Cp.s/en)))),Russia Warns Poland After WWII Monument Pulled Down,"[{'PRED': ['warns/P.sox.-------/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['poland/Cp.s/en'], 'TOPIC': [[['down/M/en'], ['pulled/Pd.s.<f-----/en']], [['+/B.am/.'], ['wwii/Cp.s/en'], ['monument/Cp.s/en']]]}]","[{'PRED': 'Warns', 'SOURCE': 'Russia', 'TARGET': 'Poland', 'TOPIC': 'WWII Monument Pulled Down'}]"
51,(warns/Pd.rsor.|f--3s-/en (are/P.sxx.|f-----/en (+/B.am/. roma/Cp.s/en people/Cc.p/en) (like/T/en (all/Md/en (+/B.am/. eu/Cp.s/en citizens/Cc.p/en))) (so/T/en ((can/Mm/en live/Pd.sr.-i-----/en) they/Ci/en ((where/M/en want/P.s.|f-----/en) they/Ci/en)))) europe/Cp.s/en france/Cp.s/en ((to/Mi/en stop/P.r.-i-----/en) (kicking/P.ox.|pg----/en roma/Cp.s/en (out/T/en (of/Mt/en (the/Md/en country/Cc.s/en)))))),"Roma people are like all EU citizens so they can live where they want,"" Europe warns France to stop kicking Roma out of the country","[{'PRED': ['warns/Pd.rsor.|f--3s-/en'], 'SOURCE': ['europe/Cp.s/en'], 'TARGET': ['france/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Europe', 'TARGET': 'France'}]"
52,(warns/Pd.rsox.|f--3s-/en report/Cc.s/en israel/Cp.s/en lebanon/Cp.s/en (against/T/en (responding/P.x.|pg----/en (to/T/en (alleged/Mv.<pf----/en attack/Cc.s/en))))),Report: Israel warns Lebanon against responding to alleged attack,"[{'PRED': ['warns/Pd.rsox.|f--3s-/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['lebanon/Cp.s/en'], 'TOPIC': [['responding/P.x.|pg----/en'], [['to/T/en'], [['alleged/Mv.<pf----/en'], ['attack/Cc.s/en']]]]}]","[{'PRED': 'warns', 'SOURCE': 'Israel', 'TARGET': 'Lebanon', 'TOPIC': 'responding to alleged attack'}]"
53,(warns/Pd.so.|f--3s-/en greece/Cp.s/en europe/Cp.s/en),Greece warns Europe,"[{'PRED': ['warns/Pd.so.|f--3s-/en'], 'SOURCE': ['greece/Cp.s/en'], 'TARGET': ['europe/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Greece', 'TARGET': 'Europe'}]"
54,(warns/Pd.so.|f--3s-/en israel/Cp.s/en syria/Cp.s/en),Israel warns Syria,"[{'PRED': ['warns/Pd.so.|f--3s-/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Israel', 'TARGET': 'Syria'}]"
55,(warns/Pd.so.|f--3s-/en pakistan/Cp.s/en india/Cp.s/en),Pakistan warns India,"[{'PRED': ['warns/Pd.so.|f--3s-/en'], 'SOURCE': ['pakistan/Cp.s/en'], 'TARGET': ['india/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Pakistan', 'TARGET': 'India'}]"
56,(warns/Pd.so.|f--3s-/en russia/Cp.s/en ukraine/Cp.s/en),Russia warns Ukraine,"[{'PRED': ['warns/Pd.so.|f--3s-/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Russia', 'TARGET': 'Ukraine'}]"
57,(warns/Pd.sor.|f--3s-/en france/Cp.s/en israel/Cp.s/en ((could/Mm/en escalate/P.so.-i-----/en) (on/Br.ma/en (its/Mp/en ban/Cc.s/en) palestinians/Cp.p/en) violence/Cc.s/en)),France warns Israel its ban on Palestinians could escalate violence,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['france/Cp.s/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'France', 'TARGET': 'Israel'}]"
58,(warns/Pd.sor.|f--3s-/en france/Cp.s/en russia/Cp.s/en (that/T/en ((can/Mm/en justify/P.so.-i-----/en) nothing/Cc.s/en (on/Br.ma/en assault/Cc.s/en (’s/Bp.am/en syria/Cp.s/en aleppo/Cp.s/en))))),France warns Russia that ‘nothing can justify’ assault on Syria’s Aleppo,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['france/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'France', 'TARGET': 'Russia'}]"
59,(warns/Pd.sor.|f--3s-/en india/Cp.s/en pakistan/Cp.s/en ((to/Mi/en stop/P.o.-i-----/en) attacks/Cc.p/en)),India warns Pakistan to stop attacks,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['india/Cp.s/en'], 'TARGET': ['pakistan/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'India', 'TARGET': 'Pakistan'}]"
60,(warns/Pd.sor.|f--3s-/en israel/Cp.s/en brazil/Cp.s/en ((to/Mi/en accept/P.o.-i-----/en) (its/Mp/en (+/B.am/. settler/Cc.s/en ambassador/Cc.s/en)))),Israel warns Brazil to accept its settler ambassador,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['brazil/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Israel', 'TARGET': 'Brazil'}]"
61,(warns/Pd.sor.|f--3s-/en israel/Cp.s/en lebanon/Cp.s/en ((to/Mi/en curb/P.o.-i-----/en) (for/Br.ma/en (+/B.am/. hezbollah/Cp.s/en reprisals/Cc.p/en) (+/B.am/. air/Cc.s/en strike/Cc.s/en)))),Israel warns Lebanon to curb Hezbollah reprisals for air strike,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['lebanon/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Israel', 'TARGET': 'Lebanon'}]"
62,(warns/Pd.sor.|f--3s-/en italy/Cp.s/en egypt/Cp.s/en ((to/Mi/en speed/P.o.-i-----/en) (of/Br.ma/en pace/Cc.s/en investigation/Cc.s/en))),Italy warns Egypt to speed pace of investigation,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['italy/Cp.s/en'], 'TARGET': ['egypt/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Italy', 'TARGET': 'Egypt'}]"
63,(warns/Pd.sor.|f--3s-/en pakistan/Cp.s/en india/Cp.s/en (says/P.r.|f--3s-/en ((if/M/en needed/Pd.r.<pf----/en) ((can/Mm/en use/P.o.-i-----/en) (nuclear/Ma/en weapons/Cc.p/en))))),"Pakistan warns India, says can use nuclear weapons if needed","[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['pakistan/Cp.s/en'], 'TARGET': ['india/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Pakistan', 'TARGET': 'India'}]"
64,(warns/Pd.sor.|f--3s-/en poland/Cp.s/en russia/Cp.s/en (or/J/en ((to/Mi/en change/P.o.-i-----/en) (on/Br.ma/en tack/Cp.s/en ukraine/Cp.s/en)) (face/P!.o.-i-----/en (+/B.am/. further/Cp.s/en sanctions/Cc.p/en)))),Poland Warns Russia to Change Tack on Ukraine or Face Further Sanctions,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['poland/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Poland', 'TARGET': 'Russia'}]"
65,(warns/Pd.sor.|f--3s-/en russia/Cp.s/en norway/Cp.s/en (that/T/en ((will/Mm/en hurt/P.so.-i-----/en) (hosting/Mv.|pg----/en (+/B.am/. us/Cp.s/en marines/Cp.p/en)) ties/Cc.p/en))),Russia warns Norway that hosting US Marines will hurt ties,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['norway/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Russia', 'TARGET': 'Norway'}]"
66,(warns/Pd.sor.|f--3s-/en syria/Cp.s/en israel/Cp.s/en (after/T/en (hit/P.so.<f-----/en rockets/Cc.p/en (+/B.am/. air/Cc.s/en base/Cc.s/en)))),Syria warns Israel after rockets hit air base,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['syria/Cp.s/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Syria', 'TARGET': 'Israel'}]"
67,(warns/Pd.sor.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (that/T/en ((will/Mm/en lead/P.sx.-i-----/en) (+/B.am/. crimea/Cp.s/en intervention/Cc.s/en) (to/T/en war/Cc.s/en)))),Ukraine warns Russia that Crimea intervention will lead to war,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Ukraine', 'TARGET': 'Russia'}]"
68,(warns/Pd.sox.|f--3s-/en france/Cp.s/en russia/Cp.s/en (against/T/en (meddling/P.x.|pg----/en (in/T/en election/Cc.s/en)))),France warns Russia against meddling in election,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['france/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['meddling/P.x.|pg----/en'], [['in/T/en'], ['election/Cc.s/en']]]}]","[{'PRED': 'warns', 'SOURCE': 'France', 'TARGET': 'Russia', 'TOPIC': 'meddling in election'}]"
69,(warns/Pd.sox.|f--3s-/en iran/Cp.s/en bahrain/Cp.s/en (over/T/en (revoking/P.o.|pg----/en ('s/Bp.am/en (+/B.am/. shia/Cp.s/en cleric/Cc.s/en) citizenship/Cc.s/en)))),Iran warns Bahrain over revoking Shia cleric's citizenship,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['iran/Cp.s/en'], 'TARGET': ['bahrain/Cp.s/en'], 'TOPIC': [['revoking/P.o.|pg----/en'], [[""'s/Bp.am/en""], [['+/B.am/.'], ['shia/Cp.s/en'], ['cleric/Cc.s/en']], ['citizenship/Cc.s/en']]]}]","[{'PRED': 'warns', 'SOURCE': 'Iran', 'TARGET': 'Bahrain', 'TOPIC': ""revoking Shia cleric's citizenship""}]"
