,edge,edge_text,variables,variables_text
45,((must/Mm/en obey/Pd.so.-i-----/en) you/Ci/en me/Ci/en),you must obey me,"[{'PRED': [['must/Mm/en'], ['obey/Pd.so.-i-----/en']], 'SOURCE': ['you/Ci/en'], 'TARGET': ['me/Ci/en']}]","[{'PRED': 'must ""obey', 'SOURCE': 'you', 'TARGET': 'me'}]"
46,((not/Mn/en (to/Mi/en invade/P.so.-i-----/en)) russia/Cp.s/en ukraine/Cp.s/en),Russia not to invade Ukraine,"[{'PRED': [['not/Mn/en'], [['to/Mi/en'], ['invade/P.so.-i-----/en']]], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'not to invade', 'SOURCE': 'Russia', 'TARGET': 'Ukraine'}]"
47,((officially/M/en abandon/P.so?.|f-----/en) italians/Cp.p/en rome/Cp.s/en bid/Cc.s/en),Italians officially abandon Rome bid,"[{'PRED': [['officially/M/en'], ['abandon/P.so?.|f-----/en']], 'SOURCE': ['italians/Cp.p/en'], 'TARGET': ['rome/Cp.s/en']}]","[{'PRED': 'officially abandon', 'SOURCE': 'Italians', 'TARGET': 'Rome'}]"
48,((should/Mm/en (not/Mn/en punish/P.sor.-i-----/en)) eu/Cp.s/en britain/Cp.s/en ((to/Mi/en keep/P.o.-i-----/en) (+/B.am/. city/Cc.s/en benefits/Cc.p/en))),EU ‘should not punish Britain’ to keep City benefits,"[{'PRED': [['should/Mm/en'], [['not/Mn/en'], ['punish/P.sor.-i-----/en']]], 'SOURCE': ['eu/Cp.s/en'], 'TARGET': ['britain/Cp.s/en']}]","[{'PRED': 'should not punish', 'SOURCE': 'EU', 'TARGET': 'Britain'}]"
49,((should/Mm/en leave/P.so.-i-----/en) americans/Cp.p/en iraq/Cp.s/en),Americans should leave Iraq,"[{'PRED': [['should/Mm/en'], ['leave/P.so.-i-----/en']], 'SOURCE': ['americans/Cp.p/en'], 'TARGET': ['iraq/Cp.s/en']}]","[{'PRED': 'should leave', 'SOURCE': 'Americans', 'TARGET': 'Iraq'}]"
50,((should/Mm/en leave/P.so.-i-----/en) roma/Cp.s/en france/Cp.s/en),Roma should leave France,"[{'PRED': [['should/Mm/en'], ['leave/P.so.-i-----/en']], 'SOURCE': ['roma/Cp.s/en'], 'TARGET': ['france/Cp.s/en']}]","[{'PRED': 'should leave', 'SOURCE': 'Roma', 'TARGET': 'France'}]"
51,((should/Mm/en leave/Pd.so.-i-----/en) british/Cp.s/en eu/Cp.s/en),should British leave EU,"[{'PRED': [['should/Mm/en'], ['leave/Pd.so.-i-----/en']], 'SOURCE': ['british/Cp.s/en'], 'TARGET': ['eu/Cp.s/en']}]","[{'PRED': 'should leave', 'SOURCE': 'British', 'TARGET': 'EU'}]"
52,((still/M/en detaining/Pd.?sox.|pg----/en) (later/M/en (4/M#/en days/Cc.p/en)) pa/Cp.s/en palestinians/Cp.p/en (for/T/en (visiting/P.o.|pg----/en (’s/Bp.am/en (+/B.am/. settler/Cc.s/en leader/Cc.s/en) sukkah/Cc.p/en)))),"4 days later, PA still detaining Palestinians for visiting settler leader’s sukkah","[{'PRED': [['still/M/en'], ['detaining/Pd.?sox.|pg----/en']], 'SOURCE': ['pa/Cp.s/en'], 'TARGET': ['palestinians/Cp.p/en'], 'TOPIC': [['visiting/P.o.|pg----/en'], [['’s/Bp.am/en'], [['+/B.am/.'], ['settler/Cc.s/en'], ['leader/Cc.s/en']], ['sukkah/Cc.p/en']]]}]","[{'PRED': 'still detaining', 'SOURCE': 'PA', 'TARGET': 'Palestinians', 'TOPIC': 'visiting settler leader’s sukkah'}]"
53,((to/Mi/en ask/Pd.sor.-i-----/en) abbas/Cp.s/en un/Cp.s/en ((to/Mi/en set/P.ox.-i-----/en) (for/Br.ma/en timetable/Cc.s/en (palestinian/Ma/en state/Cc.s/en)) (along/Tt/en (1967/M#/en lines/Cc.p/en)))),Abbas to ask UN to set timetable for Palestinian state along 1967 lines,"[{'PRED': [['to/Mi/en'], ['ask/Pd.sor.-i-----/en']], 'SOURCE': ['abbas/Cp.s/en'], 'TARGET': ['un/Cp.s/en']}]","[{'PRED': 'to ask', 'SOURCE': 'Abbas', 'TARGET': 'UN'}]"
54,((to/Mi/en ask/Pd.sor.-i-----/en) australia/Cp.s/en china/Cp.s/en (if/T/en ((will/Mm/en get/P.so.-i-----/en) others/Cc.p/en (to/Br.ma/en access/Cc.s/en (reclaimed/Ma/en (+/B.am/. (+/B.am/. (+/B.am/. south/Cp.s/en china/Cp.s/en) sea/Cp.s/en) islands/Cc.p/en)))))),Australia to ask China if others will get access to reclaimed South China Sea islands,"[{'PRED': [['to/Mi/en'], ['ask/Pd.sor.-i-----/en']], 'SOURCE': ['australia/Cp.s/en'], 'TARGET': ['china/Cp.s/en']}]","[{'PRED': 'to ask', 'SOURCE': 'Australia', 'TARGET': 'China'}]"
55,((to/Mi/en ask/Pd.sor.-i-----/en) germany/Cp.s/en croatia/Cp.s/en ((to/Mi/en extradite/P.ooo.-i-----/en) (alleged/Ma/en ex/Cc.s/en) -/Cc.s/en spy/Cc.s/en)),Germany to ask Croatia to extradite alleged ex -spy,"[{'PRED': [['to/Mi/en'], ['ask/Pd.sor.-i-----/en']], 'SOURCE': ['germany/Cp.s/en'], 'TARGET': ['croatia/Cp.s/en']}]","[{'PRED': 'to ask', 'SOURCE': 'Germany', 'TARGET': 'Croatia'}]"
56,((to/Mi/en ask/Pd.sor.-i-----/en) israel/Cp.s/en obama/Cp.s/en ((to/Mi/en stop/P.o.-i-----/en) (to/Br.ma/en (from/Br.ma/en (of/Br.ma/en (the/Md/en flow/Cc.s/en) arms/Cc.p/en) syria/Cp.s/en) hezbollah/Cp.s/en))),Israel to ask Obama to stop the flow of arms from Syria to Hezbollah,"[{'PRED': [['to/Mi/en'], ['ask/Pd.sor.-i-----/en']], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['obama/Cp.s/en']}]","[{'PRED': 'to ask', 'SOURCE': 'Israel', 'TARGET': 'Obama'}]"
57,((to/Mi/en ask/Pd.sor.-i-----/en) russia/Cp.s/en syria/Cp.s/en ((to/Mi/en relinquish/P.ox.-i-----/en) (of/Br.ma/en control/Cc.s/en (chemical/Ma/en weapons/Cc.p/en)) ((to/Mi/en (not/Mn/en attack/P.x.-i-----/en)) (if/T/en (agrees/Pd.s.|f--3s-/en us/Cp.s/en))))),Russia to ask Syria to relinquish control of chemical weapons if US agrees to not attack,"[{'PRED': [['to/Mi/en'], ['ask/Pd.sor.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'to ask', 'SOURCE': 'Russia', 'TARGET': 'Syria'}]"
58,((to/Mi/en attack/Pd.so.-i-----/en) foreigners/Cc.p/en turkey/Cp.s/en),foreigners to attack Turkey,"[{'PRED': [['to/Mi/en'], ['attack/Pd.so.-i-----/en']], 'SOURCE': ['foreigners/Cc.p/en'], 'TARGET': ['turkey/Cp.s/en']}]","[{'PRED': 'to attack', 'SOURCE': 'foreigners', 'TARGET': 'Turkey'}]"
59,"((to/Mi/en commit/Pd.soooo.-i-----/en) china/Cp.s/en (8,000/M#/en troops/Cc.p/en) ($/M/en 1/C#/en) bil/Cp.s/en %2e/Cp.s/en)","China to commit 8,000 troops, $1 bil.","[{'PRED': [['to/Mi/en'], ['commit/Pd.soooo.-i-----/en']], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['bil/Cp.s/en']}]","[{'PRED': 'to commit', 'SOURCE': 'China', 'TARGET': 'bil'}]"
60,((to/Mi/en convince/P.so.-i-----/en) india/Cp.s/en tehran/Cp.s/en),India to convince Tehran,"[{'PRED': [['to/Mi/en'], ['convince/P.so.-i-----/en']], 'SOURCE': ['india/Cp.s/en'], 'TARGET': ['tehran/Cp.s/en']}]","[{'PRED': 'to convince', 'SOURCE': 'India', 'TARGET': 'Tehran'}]"
61,((to/Mi/en deport/Pd.so.-i-----/en) canada/Cp.s/en pakistani/Cp.s/en),Canada to deport Pakistani,"[{'PRED': [['to/Mi/en'], ['deport/Pd.so.-i-----/en']], 'SOURCE': ['canada/Cp.s/en'], 'TARGET': ['pakistani/Cp.s/en']}]","[{'PRED': 'to deport', 'SOURCE': 'Canada', 'TARGET': 'Pakistani'}]"
62,((to/Mi/en expel/Pd.so.-i-----/en) saudi/Ca/en foreigners/Cc.p/en),Saudi to expel foreigners,"[{'PRED': [['to/Mi/en'], ['expel/Pd.so.-i-----/en']], 'SOURCE': ['saudi/Ca/en'], 'TARGET': ['foreigners/Cc.p/en']}]","[{'PRED': 'to expel', 'SOURCE': 'Saudi', 'TARGET': 'foreigners'}]"
63,((to/Mi/en extradite/Pd.so.-i-----/en) belgium/Cp.s/en paris/Cp.s/en),Belgium to extradite Paris,"[{'PRED': [['to/Mi/en'], ['extradite/Pd.so.-i-----/en']], 'SOURCE': ['belgium/Cp.s/en'], 'TARGET': ['paris/Cp.s/en']}]","[{'PRED': 'to extradite', 'SOURCE': 'Belgium', 'TARGET': 'Paris'}]"
64,((to/Mi/en fight/Pd.so.-i-----/en) washington/Cp.s/en isis/Cp.s/en),Washington to fight ISIS,"[{'PRED': [['to/Mi/en'], ['fight/Pd.so.-i-----/en']], 'SOURCE': ['washington/Cp.s/en'], 'TARGET': ['isis/Cp.s/en']}]","[{'PRED': 'to ""fight', 'SOURCE': 'Washington', 'TARGET': 'ISIS'}]"
65,((to/Mi/en leave/Pd.so.-i-----/en) venezuela/Cp.s/en oas/Cp.s/en),Venezuela To Leave OAS,"[{'PRED': [['to/Mi/en'], ['leave/Pd.so.-i-----/en']], 'SOURCE': ['venezuela/Cp.s/en'], 'TARGET': ['oas/Cp.s/en']}]","[{'PRED': 'To Leave', 'SOURCE': 'Venezuela', 'TARGET': 'OAS'}]"
66,((to/Mi/en leave/Pd.sox.-i-----/en) blackberry/Cc.s/en pakistan/Cp.s/en (after/T/en (refusing/P.r.|pg----/en ((to/Mi/en ditch/P.o.-i-----/en) (+/B.am/. user/Cc.s/en privacy/Cc.s/en))))),BlackBerry to leave Pakistan after refusing to ditch user privacy,"[{'PRED': [['to/Mi/en'], ['leave/Pd.sox.-i-----/en']], 'SOURCE': ['blackberry/Cc.s/en'], 'TARGET': ['pakistan/Cp.s/en'], 'TOPIC': [['refusing/P.r.|pg----/en'], [[['to/Mi/en'], ['ditch/P.o.-i-----/en']], [['+/B.am/.'], ['user/Cc.s/en'], ['privacy/Cc.s/en']]]]}]","[{'PRED': 'to leave', 'SOURCE': 'BlackBerry', 'TARGET': 'Pakistan', 'TOPIC': 'refusing to ditch user privacy'}]"
67,((to/Mi/en push/P.sor.-i-----/en) russia/Cp.s/en syria/Cp.s/en ((to/Mi/en surrender/P.o.-i-----/en) (chemical/Ma/en weapons/Cc.p/en))),Russia to push Syria to surrender chemical weapons,"[{'PRED': [['to/Mi/en'], ['push/P.sor.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'to push', 'SOURCE': 'Russia', 'TARGET': 'Syria'}]"
68,((to/Mi/en push/Pd.sor.-i-----/en) eu/Cp.s/en turkey/Cp.s/en ((back/M/en (to/Mi/en take/P.ox.-i-----/en)) migrants/Cc.p/en (on/T/en (large/Ma/en scale/Cc.s/en)))),EU to push Turkey to take back migrants on 'large-scale,"[{'PRED': [['to/Mi/en'], ['push/Pd.sor.-i-----/en']], 'SOURCE': ['eu/Cp.s/en'], 'TARGET': ['turkey/Cp.s/en']}]","[{'PRED': 'to push', 'SOURCE': 'EU', 'TARGET': 'Turkey'}]"
69,((to/Mi/en push/Pd.sor.-i-----/en) pakistan/Cp.s/en un/Cp.s/en ((to/Mi/en declare/P.o.-i-----/en) (indian/Ma/en (+/B.am/. ocean/Cm/en ((nuclear/M/en free/Ma/en) zone/Cc.s/en))))),Pakistan to push UN to declare Indian Ocean nuclear-free zone,"[{'PRED': [['to/Mi/en'], ['push/Pd.sor.-i-----/en']], 'SOURCE': ['pakistan/Cp.s/en'], 'TARGET': ['un/Cp.s/en']}]","[{'PRED': 'to push', 'SOURCE': 'Pakistan', 'TARGET': 'UN'}]"
70,((to/Mi/en push/Pd.sor.-i-----/en) russia/Cp.s/en syria/Cp.s/en ((to/Mi/en put/P.ox.-i-----/en) (+/B.am/. chemical/Cp.s/en weapons/Cp.p/en) (under/T/en (+/B.am/. international/Cp.s/en control/Cp.s/en)))),Russia To Push Syria To Put Chemical Weapons Under International Control,"[{'PRED': [['to/Mi/en'], ['push/Pd.sor.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'to push', 'SOURCE': 'Russia', 'TARGET': 'Syria'}]"
71,((to/Mi/en push/Pd.sor.-i-----/en) russia/Cp.s/en syria/Cp.s/en ((to/Mi/en surrender/P.o.-i-----/en) (chemical/M/en weapons/Cc.p/en))),Russia to push Syria to surrender chemical weapons,"[{'PRED': [['to/Mi/en'], ['push/Pd.sor.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'to push', 'SOURCE': 'Russia', 'TARGET': 'Syria'}]"
72,((to/Mi/en renounce/Pd.so.-i-----/en) israel/Cp.s/en nukes/Cc.p/en),Israel to renounce nukes,"[{'PRED': [['to/Mi/en'], ['renounce/Pd.so.-i-----/en']], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['nukes/Cc.p/en']}]","[{'PRED': 'to renounce', 'SOURCE': 'Israel', 'TARGET': 'Nukes'}]"
73,((to/Mi/en sue/P.soo.-i-----/en) russia/Cp.s/en ukraine/Cp.s/en ((over/M/en ($/M/en (3/M#/en billion/M#/en))) (+/B.am/. debt/Cc.s/en default/Cc.s/en))),Russia to sue Ukraine over $3 billion debt default,"[{'PRED': [['to/Mi/en'], ['sue/P.soo.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'to sue', 'SOURCE': 'Russia', 'TARGET': 'Ukraine'}]"
74,((to/Mi/en sue/Pd.sox.-i-----/en) iraq/Cp.s/en israel/Cp.s/en (for/Tt/en (destroying/P.ox.|pg----/en (nuclear/Ma/en reactor/Cc.s/en) (in/Tt/en 1981/C#/en)))),Iraq to sue Israel for destroying nuclear reactor in 1981,"[{'PRED': [['to/Mi/en'], ['sue/Pd.sox.-i-----/en']], 'SOURCE': ['iraq/Cp.s/en'], 'TARGET': ['israel/Cp.s/en'], 'TOPIC': [['destroying/P.ox.|pg----/en'], [['nuclear/Ma/en'], ['reactor/Cc.s/en']], [['in/Tt/en'], ['1981/C#/en']]]}]","[{'PRED': 'to sue', 'SOURCE': 'Iraq', 'TARGET': 'Israel', 'TOPIC': 'destroying nuclear reactor in 1981'}]"
75,((to/Mi/en sue/Pd.soxo.-i-----/en) russia/Cp.s/en ukraine/Cp.s/en (if/Tt/en ((is/Mv.|f--3s-/en (not/Mn/en repaid/Pd.px.<pf----/en)) debt/Cc.s/en (by/Tt/en (20/M#/en december/Cp.s/en)))) (’s/Bp.am/en russia/Cp.s/en (+/B.am/. finance/Cc.s/en ministry/Cc.s/en))),Russia to sue Ukraine if debt is not repaid by December 20 — Russia ’s finance ministry,"[{'PRED': [['to/Mi/en'], ['sue/Pd.soxo.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en'], 'TOPIC': [[['is/Mv.|f--3s-/en'], [['not/Mn/en'], ['repaid/Pd.px.<pf----/en']]], ['debt/Cc.s/en'], [['by/Tt/en'], [['20/M#/en'], ['december/Cp.s/en']]]]}]","[{'PRED': 'to sue', 'SOURCE': 'Russia', 'TARGET': 'Ukraine', 'TOPIC': 'debt is not repaid by December 20'}]"
76,((to/Mi/en tell/P.so.-i-----/en) africans/Cp.p/en icc/Cp.s/en),Africans to tell ICC,"[{'PRED': [['to/Mi/en'], ['tell/P.so.-i-----/en']], 'SOURCE': ['africans/Cp.p/en'], 'TARGET': ['icc/Cp.s/en']}]","[{'PRED': 'to tell', 'SOURCE': 'Africans', 'TARGET': 'ICC'}]"
77,((to/Mi/en tell/P.so.-i-----/en) apple/Cp.s/en you/Ci/en),Apple to tell you,"[{'PRED': [['to/Mi/en'], ['tell/P.so.-i-----/en']], 'SOURCE': ['apple/Cp.s/en'], 'TARGET': ['you/Ci/en']}]","[{'PRED': 'to tell', 'SOURCE': 'Apple', 'TARGET': 'you'}]"
78,((too/M/en speak/Pd.so.|f-----/en) i/Ci/en russian/Cp.s/en),"I Speak Russian, Too","[{'PRED': [['too/M/en'], ['speak/Pd.so.|f-----/en']], 'SOURCE': ['i/Ci/en'], 'TARGET': ['russian/Cp.s/en']}]","[{'PRED': 'Speak Too', 'SOURCE': 'I', 'TARGET': 'Russian'}]"
79,((up/Ml/en ('ll/Mm/en blow/Pd.so.-i-----/en)) i/Ci/en you/Ci/en),I'll blow you up,"[{'PRED': [['up/Ml/en'], [[""'ll/Mm/en""], ['blow/Pd.so.-i-----/en']]], 'SOURCE': ['i/Ci/en'], 'TARGET': ['you/Ci/en']}]","[{'PRED': ""'ll blow up"", 'SOURCE': 'I', 'TARGET': 'you'}]"
80,((up/Ml/en (can/Mm/en blow/P?.so.-i-----/en)) you/Ci/en yourself/Ci/en),you can blow yourself up,"[{'PRED': [['up/Ml/en'], [['can/Mm/en'], ['blow/P?.so.-i-----/en']]], 'SOURCE': ['you/Ci/en'], 'TARGET': ['yourself/Ci/en']}]","[{'PRED': 'can blow up', 'SOURCE': 'you', 'TARGET': 'yourself'}]"
81,((will/Mm/en (not/Mn/en fight/Pd.soo.-i-----/en)) philippines/Cp.s/en china/Cp.s/en aquino/Cp.s/en),Philippines will not fight China – Aquino,"[{'PRED': [['will/Mm/en'], [['not/Mn/en'], ['fight/Pd.soo.-i-----/en']]], 'SOURCE': ['philippines/Cp.s/en'], 'TARGET': ['china/Cp.s/en']}]","[{'PRED': 'will not fight', 'SOURCE': 'Philippines', 'TARGET': 'China'}]"
82,((will/Mm/en (not/Mn/en invade/P.so.-i-----/en)) russia/Cp.s/en ukraine/Cp.s/en),Russia will not invade Ukraine,"[{'PRED': [['will/Mm/en'], [['not/Mn/en'], ['invade/P.so.-i-----/en']]], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'will not invade', 'SOURCE': 'Russia', 'TARGET': 'Ukraine'}]"
83,((will/Mm/en (really/M/en kill/Pd.rso.-i-----/en)) ((’m/Mv.|f-----/en (not/Mn/en trying/P.sr.|pg----/en)) i/Ci/en ((to/Mi/en make/P.r.-i-----/en) (laugh/P.sx.-i-----/en you/Ci/en (of/Br.ma/en son/Cc.s/en (a/Md/en bitch/Cc.s/en))))) i/Ci/en you/Ci/en),"I’m not trying to make you laugh, son of a bitch, I will really kill you","[{'PRED': [['will/Mm/en'], [['really/M/en'], ['kill/Pd.rso.-i-----/en']]], 'SOURCE': ['i/Ci/en'], 'TARGET': ['you/Ci/en']}]","[{'PRED': 'will really kill', 'SOURCE': 'I', 'TARGET': 'you'}]"
84,((will/Mm/en attack/P.sox.-i-----/en) israel/Cp.s/en iran/Cp.s/en (if/T/en (sign/Pd.so.|f-----/en you/Ci/en (the/Md/en deal/Cc.s/en)))),Israel will attack Iran if you sign the deal,"[{'PRED': [['will/Mm/en'], ['attack/P.sox.-i-----/en']], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['iran/Cp.s/en'], 'TOPIC': [['sign/Pd.so.|f-----/en'], ['you/Ci/en'], [['the/Md/en'], ['deal/Cc.s/en']]]}]","[{'PRED': 'Will Attack', 'SOURCE': 'Israel', 'TARGET': 'Iran', 'TOPIC': 'you sign the deal'}]"
85,((will/Mm/en attack/Pd.sox.-i-----/en) hezbollah/Cp.s/en israel/Cp.s/en (if/T/en (aims/Pd.sr.|f--3s-/en strike/Cc.s/en ((to/Mi/en topple/P.o.-i-----/en) assad/Cp.s/en)))),Hezbollah will attack Israel if strike aims to topple Assad,"[{'PRED': [['will/Mm/en'], ['attack/Pd.sox.-i-----/en']], 'SOURCE': ['hezbollah/Cp.s/en'], 'TARGET': ['israel/Cp.s/en'], 'TOPIC': [['aims/Pd.sr.|f--3s-/en'], ['strike/Cc.s/en'], [[['to/Mi/en'], ['topple/P.o.-i-----/en']], ['assad/Cp.s/en']]]}]","[{'PRED': 'Will Attack', 'SOURCE': 'Hezbollah', 'TARGET': 'Israel', 'TOPIC': 'strike aims to topple Assad'}]"
86,((will/Mm/en convince/P.sor.-i-----/en) israel/Cp.s/en world/Cc.s/en ((to/Mi/en avoid/P.o.-i-----/en) bad/Ca/en)),Israel will convince world to avoid 'bad,"[{'PRED': [['will/Mm/en'], ['convince/P.sor.-i-----/en']], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['world/Cc.s/en']}]","[{'PRED': 'will convince', 'SOURCE': 'Israel', 'TARGET': 'world'}]"
87,((will/Mm/en destroy/P.so.-i-----/en) muslims/Cp.p/en israel/Cp.s/en),Muslims Will Destroy Israel,"[{'PRED': [['will/Mm/en'], ['destroy/P.so.-i-----/en']], 'SOURCE': ['muslims/Cp.p/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': 'Will Destroy', 'SOURCE': 'Muslims', 'TARGET': 'Israel'}]"
88,((will/Mm/en invade/P.so.-i-----/en) turkey/Cp.s/en syria/Cp.s/en),Turkey will invade Syria,"[{'PRED': [['will/Mm/en'], ['invade/P.so.-i-----/en']], 'SOURCE': ['turkey/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'will invade', 'SOURCE': 'Turkey', 'TARGET': 'Syria'}]"
89,((will/Mm/en kill/P.so.-i-----/en) putin/Cp.s/en me/Ci/en),Putin will kill me,"[{'PRED': [['will/Mm/en'], ['kill/P.so.-i-----/en']], 'SOURCE': ['putin/Cp.s/en'], 'TARGET': ['me/Ci/en']}]","[{'PRED': ""will 'kill"", 'SOURCE': 'Putin', 'TARGET': 'me'}]"
90,((will/Mm/en kill/P.so?.-i-----/en) i/Ci/en you/Ci/en ((do/Mv.-i-----/en (n’t/Mn/en take/P!.ox.-i-----/en)) this/Cd/en (as/T/en (a/Md/en joke/Cc.s/en)))),I will kill you don’t take this as a joke,"[{'PRED': [['will/Mm/en'], ['kill/P.so?.-i-----/en']], 'SOURCE': ['i/Ci/en'], 'TARGET': ['you/Ci/en']}]","[{'PRED': 'will kill', 'SOURCE': 'I', 'TARGET': 'you'}]"
91,((will/Mm/en kill/Pd.rso.-i-----/en) ((here/M/en (should/Mm/en (n't/Mn/en (even/M/en dare/P.xsr.-i-----/en)))) (on/Jr.ma/en (tough/Pd.x.-------/en mayor/Cp.s/en) (in/Br.ma/en (rogue/Ma/en cops/Cc.p/en) ('s/Bp.am/en world/Cc.s/en (4th/Ma/en (safest/Ms/en city/Cc.s/en))))) (a/Md/en (criminal/Ma/en cop/Cc.s/en)) (+/B.mm/. attempt/Cc.s/en (criminal/Ma/en activities/Cc.p/en))) i/Ci/en you/Ci/en),"Mayor tough on rogue cops in world's 4th safest city: ""A criminal cop shouldn't even dare attempt criminal activities here, I will kill you","[{'PRED': [['will/Mm/en'], ['kill/Pd.rso.-i-----/en']], 'SOURCE': ['i/Ci/en'], 'TARGET': ['you/Ci/en']}]","[{'PRED': 'will kill', 'SOURCE': 'I', 'TARGET': 'you'}]"
92,((will/Mm/en kill/Pd.so.-i-----/en) i/Ci/en you/Ci/en),I will kill you,"[{'PRED': [['will/Mm/en'], ['kill/Pd.so.-i-----/en']], 'SOURCE': ['i/Ci/en'], 'TARGET': ['you/Ci/en']}]","[{'PRED': 'will kill', 'SOURCE': 'I', 'TARGET': 'you'}]"
93,((will/Mm/en leave/P.so.-i-----/en) greece/Cp.s/en euro/Cp.s/en),Greece Will Leave Euro,"[{'PRED': [['will/Mm/en'], ['leave/P.so.-i-----/en']], 'SOURCE': ['greece/Cp.s/en'], 'TARGET': ['euro/Cp.s/en']}]","[{'PRED': 'will leave', 'SOURCE': 'Greece', 'TARGET': 'Euro'}]"
94,((will/Mm/en leave/Pd.so.-i-----/en) scotland/Cp.s/en eu/Cp.s/en),Scotland will leave EU,"[{'PRED': [['will/Mm/en'], ['leave/Pd.so.-i-----/en']], 'SOURCE': ['scotland/Cp.s/en'], 'TARGET': ['eu/Cp.s/en']}]","[{'PRED': 'will leave', 'SOURCE': 'Scotland', 'TARGET': 'EU'}]"
95,((will/Mm/en leave/Pd.ssox.-i-----/en) rbs/Cp.s/en lloyds/Cp.s/en scotland/Cp.s/en (if/T/en (votes/Pd.sx.|f--3s-/en it/Ci/en (for/T/en independence/Cc.s/en)))),"RBS, Lloyds will leave Scotland if it votes for independence","[{'PRED': [['will/Mm/en'], ['leave/Pd.ssox.-i-----/en']], 'SOURCE': ['rbs/Cp.s/en'], 'TARGET': ['scotland/Cp.s/en'], 'TOPIC': [['votes/Pd.sx.|f--3s-/en'], ['it/Ci/en'], [['for/T/en'], ['independence/Cc.s/en']]]}]","[{'PRED': 'will leave', 'SOURCE': 'RBS', 'TARGET': 'Scotland', 'TOPIC': 'it votes for independence'}]"
96,((will/Mm/en push/P.sor.-i-----/en) moscow/Cp.s/en syria/Cp.s/en ((to/Mi/en place/P.ox.-i-----/en) (its/Mp/en (chemical/Ma/en weapons/Cc.p/en)) (under/T/en (international/Ma/en control/Cc.s/en)))),Moscow will push Syria to place its chemical weapons under international control,"[{'PRED': [['will/Mm/en'], ['push/P.sor.-i-----/en']], 'SOURCE': ['moscow/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'will push', 'SOURCE': 'Moscow', 'TARGET': 'Syria'}]"
97,((will/Mm/en shoot/Pd.so.-i-----/en) i/Ci/en you/Ci/en),I will shoot you,"[{'PRED': [['will/Mm/en'], ['shoot/Pd.so.-i-----/en']], 'SOURCE': ['i/Ci/en'], 'TARGET': ['you/Ci/en']}]","[{'PRED': 'will shoot', 'SOURCE': 'I', 'TARGET': 'you'}]"
98,((will/Mm/en stop/P.sox.-i-----/en) russia/Cp.s/en turkey/Cp.s/en (from/T/en (intervening/P.x.|pg----/en (in/T/en syria/Cp.s/en)))),Russia will stop Turkey from intervening in Syria,"[{'PRED': [['will/Mm/en'], ['stop/P.sox.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['turkey/Cp.s/en'], 'TOPIC': [['intervening/P.x.|pg----/en'], [['in/T/en'], ['syria/Cp.s/en']]]}]","[{'PRED': 'will stop', 'SOURCE': 'Russia', 'TARGET': 'Turkey', 'TOPIC': 'intervening in Syria'}]"
99,((wo/Mm/en (n't/Mn/en leave/P.so.-i-----/en)) turkey/Cp.s/en qatar/Cp.s/en),Turkey won't leave Qatar,"[{'PRED': [['wo/Mm/en'], [[""n't/Mn/en""], ['leave/P.so.-i-----/en']]], 'SOURCE': ['turkey/Cp.s/en'], 'TARGET': ['qatar/Cp.s/en']}]","[{'PRED': ""won't leave"", 'SOURCE': 'Turkey', 'TARGET': 'Qatar'}]"
